Molecule;State;TCC;x1;y1;z1;x2;y2;z2;NICS(0);NICS_zz(0);NICS(1);NICS_zz(1)
Benzene;0;0;0;0;0;0;0;1;-8.118;-16.375;-10.032;-30.045
Benzene-br;0;0;1.639;0;0;1.639;0;1;-8.346;-15.194;-9.712;-28.229
Benzene-ch3;0;0;0.459;0;0.002;0.459;0;1.002;-8.002;-15.087;-9.927;-29.271
Benzene-cho;0;0;0.878;-0.02;0;0.878;-0.02;1;-7.794;-13.579;-9.966;-28.675
Benzene-cl;0;0;0.949;0;0;0.949;0;1;-8.553;-15.337;-9.753;-28.423
Benzene-cn;0;0;0.842;0;0;0.842;0;1;-8.456;-15.126;-10.057;-28.996
Benzene-coch3;0;0;1.191;0.019;0;1.191;0.019;1;-7.951;-13.678;-9.998;-28.57
Benzene-conh2;0;0;-1.198;0.007;0;-1.198;0.007;-1;-8.179;-14.364;-10.313;-28.999
Benzene-cooch3;0;0;1.599;-0.076;0;1.599;-0.076;1;-7.992;-13.924;-9.987;-28.647
Benzene-cooh;0;0;1.209;-0.003;0;1.209;-0.003;1;-7.973;-14.146;-9.973;-28.785
Benzene-f;0;0;0.51;0;0;0.51;0;1;-9.84;-16.762;-10.094;-29.133
Benzene-n_ch3_2;0;0;-1.182;0;-0.007;-1.182;0;-1.007;-8.142;-12.442;-9.184;-26.71
Benzene-nh2;0;0;-0.463;0;0.001;-0.463;0;1.001;-7.893;-11.714;-8.999;-26.196
Benzene-nh3;0;0;-0.499;0;0;-0.499;0;1;-9.411;-16.35;-10.283;-29.56
Benzene-no2;0;0;1.184;0;0;1.184;0;1;-9.064;-14.971;-10.199;-28.8
Benzene-no;0;0;0.86;-0.022;0;0.86;-0.022;1;-8.293;-12.698;-9.87;-27.591
Benzene-och3;0;0;0.887;-0.03;0;0.887;-0.03;1;-8.919;-14.446;-9.745;-28.13
Benzene-oh;0;0;0.474;-0.001;0;0.474;-0.001;1;-8.961;-14.474;-9.558;-27.73
Benzene-ph2;0;0;-0.95;0.001;-0.001;-0.95;0.001;-1.001;-7.716;-15.108;-9.966;-29.233
Benzene-sh;0;0;0.925;0.001;0;0.925;0.001;1;-7.688;-13.339;-9.29;-27.26
Benzene-sih3;0;0;0.929;0;0.002;0.929;0;1.002;-7.3;-14.859;-9.949;-29.476
Benzene;1;0;0;0;0;0;0;1;27.217;90.95;19.324;58.47
Benzene-br;1;0;1.663;-0.007;0.179;1.663;-0.007;1.179;-10.646;-17.134;-17.134;-28.369
Benzene-ch3;1;0;-0.459;0.016;0;-0.459;0.016;1;24.576;83.958;17.171;52.654
Benzene-cho;1;0;0.877;-0.022;0;0.877;-0.022;1;-3.849;-3.225;-6.043;-19.094
Benzene-cl;1;0;0.853;0;-0.152;0.853;0;-1.152;6.427;23.753;2.743;9.49
Benzene-cn;1;0;0.838;0;0;0.838;0;1;19.408;68.453;12.99;40.301
Benzene-coch3;1;0;-1.196;-0.019;0;-1.196;-0.019;1;-3.848;-2.576;-6.111;-18.875
Benzene-conh2;1;0;-1.176;0.002;-0.059;-1.176;0.002;-1.059;17.073;58.459;10.857;34.049
Benzene-cooch3;1;0;-1.596;-0.084;0;-1.596;-0.084;1;21.129;72.948;14.151;44.087
Benzene-cooh;1;0;1.206;-0.012;0;1.206;-0.012;1;20.987;72.293;14.036;43.615
Benzene-f;1;0;0.51;0.018;0;0.51;0.018;1;24.966;87.654;18.387;56.584
Benzene-n_ch3_2;1;0;1.186;-0.016;-0.002;1.186;-0.016;-1.002;23.574;81.672;16.772;51.722
Benzene-nh2;1;0;-0.459;0.013;0.001;-0.459;0.013;1.001;25.468;88.883;18.512;56.109
Benzene-nh3;1;0;-0.422;0;-0.141;-0.422;0;-1.141;6.418;25.675;2.556;9.259
Benzene-no2;1;0;-1.203;0;0.008;-1.203;0;1.008;-8.037;-12.202;-9.143;-26.656
Benzene-no;1;0;0.874;-0.021;0;0.874;-0.021;1;-7.018;-9.653;-8.261;-23.857
Benzene-och3;1;0;0.889;-0.047;0;0.889;-0.047;1;24.675;86.337;17.859;54.744
Benzene-oh;1;0;0.472;0.017;0;0.472;0.017;1;25.171;87.805;18.346;56.078
Benzene-ph2;1;0;-0.874;0;-0.118;-0.874;0;-1.118;8.777;32.406;5.247;16.634
Benzene-sh;1;0;-0.838;-0.001;0.135;-0.838;-0.001;1.135;8.138;29.889;4.545;-12.374
Benzene-sih3;1;0;-0.841;0;-0.14;-0.841;0;-1.14;8.755;29.819;5.786;18.46
Coronenee;0;1;0;0;0;0;0;1;1.251;18.926;-3.364;-5.815
Coronenee;0;1;1.228;-2.127;0;1.228;-2.127;1;-9.134;-13.92;-11.478;-31.148
c96h24;0;1;0;0;0;0;0;1;0.597;18.793;-4.819;-8.729
c96h24;0;1;0;4.257;0;0;4.257;1;0.761;18.916;-4.439;-7.794
c96h24;0;1;7.378;0;0;7.378;0;1;2.392;21.569;-1.997;-1.568
c96h24;0;1;-3.687;2.128;0;-3.687;2.128;1;0.759;18.919;-4.439;-7.785
c96h24;0;1;3.689;-6.389;0;3.689;-6.389;1;2.394;21.566;-1.994;-1.562
c96h24;0;1;-1.228;2.128;0;-1.228;2.128;1;-10.312;-14.058;-13.787;-35.925
c96h24;0;1;-2.458;-4.257;0;-2.458;-4.257;1;-9.627;-12.353;-12.921;-33.545
c96h24;0;1;-4.916;0;0;-4.916;0;1;-9.629;-12.351;-12.925;-33.549
c96h24;0;1;-4.917;4.258;0;-4.917;4.258;1;-12.804;-22.838;-14.919;-40.183
c96h24;0;1;-6.146;2.129;0;-6.146;2.129;1;-12.805;-22.848;-14.917;-40.177
Circo;0;1;0;0;0;0;0;1;-12.88;-22.304;-15.619;-41.968
Circo;0;1;4.258;-2.458;0;4.258;-2.458;1;-3.897;2.376;-7.28;-17.828
Circo;0;1;0;4.917;0;0;4.917;1;-3.9;2.377;-7.283;-17.835
Circo;0;1;0;2.458;0;0;2.458;1;-2.36;9.109;-6.799;-15.297
Circo;0;1;-2.129;1.229;0;-2.129;1.229;1;-2.359;9.107;-6.797;-15.295
Circo;0;1;4.257;0;0;4.257;0;1;-14.413;-27.988;-16.163;-44.279
Circo;0;1;-2.128;3.687;0;-2.128;3.687;1;-14.412;-27.98;-16.166;-44.29
c150h30-dist;0;1;0;0;0;0;0;1;-14.524;-22.082;-17.644;-44.573
c150h30-dist;0;1;-2.128;3.685;0;-2.128;3.685;-1;-14.745;-22.923;-17.706;-44.908
